,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets,emissions
2019-12-22 15:00:00+00:00,1.02,0.14168900804289544,0.6852342549923195,5523.0,5428.7,1754.3000000000002,-6.68,11.42,1.968693483741051,59.80133030491491,24.164829545454545,3.2460054286265967,0.04668105339616514
2019-12-22 16:00:00+00:00,2.3,0.03793565683646113,0.6230222734254992,5530.0,5411.4,2138.4,-7.03,11.95,1.96822574189914,59.789677076442274,24.16454545454545,3.245522670220595,0.0510352160739968
2019-12-22 17:00:00+00:00,2.3,0.00040214477211796245,0.5747695852534562,5964.0,5842.1,2848.4,-1.88,6.74,1.967758000057229,59.77802384796964,24.164261363636363,3.2450399118145925,0.05302529784062403
2019-12-22 18:00:00+00:00,3.5,0.0,0.5082373271889401,6329.0,6260.5,3613.6,-1.79,8.94,1.967290258215318,59.766370619497,24.163977272727276,3.24455715340859,0.05666492468347688
2019-12-22 19:00:00+00:00,5.5,0.0,0.42868663594470047,6440.0,6436.1,4203.5,-0.61,12.49,1.966822516373407,59.75471739102436,24.163693181818186,3.2440743950025888,0.0618957590665027
2019-12-22 20:00:00+00:00,6.6,0.0,0.318394777265745,6310.0,6414.0,4755.8,2.52,11.58,1.966354774531496,59.74306416255172,24.16340909090909,3.243591636596587,0.06868694390468313
2019-12-22 21:00:00+00:00,5.5,0.0,0.2358294930875576,6038.0,6183.4,4955.2,5.06,6.14,1.965887032689585,59.73141093407908,24.163125,3.243108878190585,0.07308130590384343
2019-12-22 22:00:00+00:00,3.49,0.0,0.21833717357910903,5845.0,5869.1,4732.0,3.35,3.68,1.965419290847674,59.71975770560645,24.16284090909091,3.2426261197845827,0.07349352247424437
2019-12-22 23:00:00+00:00,5.02,0.0,0.1929531490015361,5458.0,5435.3,4430.400000000001,-7.46,26.99,1.964951549005763,59.70810447713381,24.16255681818182,3.242143361378581,0.07651152959404929
2019-12-23 00:00:00+00:00,4.52,0.0,0.20124807987711213,5100.0,4925.0,3876.9,-14.08,28.36,1.964483807163852,59.69645124866117,24.16227272727273,3.2416606029725794,0.07666449035167705
2019-12-23 01:00:00+00:00,2.3,0.0,0.19602534562211982,4793.0,4562.5,3541.6,-15.62,25.77,1.964016065321941,59.68479802018853,24.16198863636364,3.241177844566577,0.07636126331865464
2019-12-23 02:00:00+00:00,1.02,0.0,0.19711981566820275,4629.0,4306.2,3279.6,-11.02,16.42,1.96354832348003,59.67314479171589,24.161704545454544,3.2406950861605752,0.07604031834514305
2019-12-23 03:00:00+00:00,1.0,0.0,0.2332757296466974,4564.0,4177.8,2962.9,-18.44,23.73,1.963080581638119,59.66149156324325,24.161420454545453,3.2402123277545734,0.07423934118160469
2019-12-23 04:00:00+00:00,2.3,0.0,0.24285714285714285,4566.0,4157.0,2892.2,-6.81,12.41,1.962612839796208,59.64983833477062,24.161136363636363,3.2397295693485715,0.0744607079795886
2019-12-23 05:00:00+00:00,5.5,0.0,0.25309139784946233,4734.0,4213.8,2895.7000000000003,4.66,6.41,1.9621450979542967,59.63818510629798,24.160852272727272,3.2392468109425696,0.07556069629418541
2019-12-23 06:00:00+00:00,19.4,0.0,0.253763440860215,5205.0,4516.3,3194.7000000000003,14.92,23.91,1.961677356112386,59.62653187782534,24.16056818181818,3.238764052536568,0.0826804754653798
2019-12-23 07:00:00+00:00,26.51,0.00013404825737265417,0.2620199692780338,5892.0,4964.2,3599.4999999999995,7.24,46.76,1.9612096142704751,59.614878649352704,24.16028409090909,3.238281294130566,0.08536911696679422
2019-12-23 08:00:00+00:00,34.44,0.02680965147453083,0.28279569892473116,6667.0,5614.6,4121.8,33.23,35.69,1.960741872428564,59.60322542088007,24.16,3.237798535724564,0.08742146722062893
2019-12-23 09:00:00+00:00,35.1,0.09812332439678284,0.26945084485407067,7022.0,6151.0,4674.5,-9.41,81.88,1.960274130586653,59.59157219240743,24.15971590909091,3.237315777318562,0.08748935646391692
2019-12-23 10:00:00+00:00,34.44,0.18739946380697053,0.2463325652841782,7154.0,6311.8,4889.1,9.38,60.6,1.959806388744742,59.57991896393479,24.15943181818182,3.2368330189125603,0.08800202814708032
2019-12-23 11:00:00+00:00,32.83,0.2894101876675603,0.22256144393241165,7248.0,6470.8,5095.800000000001,-1.31,68.5,1.959338646902831,59.56826573546215,24.159147727272728,3.2363502605065584,0.08801047649090195
2019-12-23 12:00:00+00:00,31.53,0.4099195710455764,0.2108294930875576,7113.0,6515.5,5111.7,-3.84,68.16,1.95887090506092,59.55661250698952,24.15886363636364,3.2358675021005565,0.0876925136176123
2019-12-23 13:00:00+00:00,30.0,0.46380697050938335,0.21324884792626728,7070.0,6374.8,4918.200000000001,7.72,53.02,1.958403163219009,59.54495927851688,24.158579545454547,3.235384743694554,0.08687946882596193
2019-12-23 14:00:00+00:00,29.51,0.42613941018766754,0.204857910906298,7170.0,6360.2,4975.4,-0.74,60.81,1.957935421377098,59.53330605004424,24.158295454545456,3.2349019852885528,0.08715608904998007
2019-12-23 15:00:00+00:00,33.41,0.3205093833780161,0.19381720430107527,7112.0,6269.9,5021.4,-0.98,68.59,1.957467679535187,59.5216528215716,24.15801136363636,3.234419226882551,0.09023843329004635
2019-12-23 16:00:00+00:00,39.0,0.10294906166219839,0.20001920122887865,7141.0,6207.4,5088.9,1.11,78.49,1.956999937693276,59.50999959309896,24.15772727272727,3.233936468476549,0.09340828243292373
2019-12-23 17:00:00+00:00,40.93,0.001474530831099196,0.20180491551459293,7393.0,6581.7,5529.599999999999,26.09,56.61,1.956532195851365,59.49834636462633,24.15744318181818,3.2334537100705467,0.09386908180257772
2019-12-23 18:00:00+00:00,39.07,0.0,0.18241167434715821,7611.0,6870.7,5920.7,35.28,43.05,1.956064454009454,59.48669313615369,24.15715909090909,3.232970951664545,0.09341826112059157
2019-12-23 19:00:00+00:00,35.98,0.0,0.1697964669738863,7685.0,6972.5,6088.2,27.86,44.45,1.955596712167543,59.47503990768105,24.156875,3.232488193258543,0.09223465069574203
2019-12-23 20:00:00+00:00,30.79,0.0,0.15328341013824884,7484.0,6869.8,6071.5,29.7,31.97,1.955128970325632,59.46338667920841,24.15659090909091,3.232005434852541,0.09046431670332578
2019-12-23 21:00:00+00:00,28.51,0.0,0.14690860215053764,7130.0,6610.6,5845.5,26.12,31.13,1.954661228483721,59.45173345073577,24.156306818181815,3.231522676446539,0.09001162246725983
2019-12-23 22:00:00+00:00,18.58,0.0,0.161136712749616,6811.0,6214.8,5375.6,13.41,24.64,1.95419348664181,59.440080222263134,24.156022727272727,3.231039918040537,0.08441988667925232
2019-12-23 23:00:00+00:00,7.0,0.0,0.1925115207373272,5706.0,5694.6,4692.0,-10.09,32.22,1.953725744799899,59.428426993790495,24.15573863636364,3.2305571596345355,0.07717791372129751
2019-12-24 00:00:00+00:00,4.62,0.0,0.19533410138248847,5238.0,5128.0,4110.7,-10.11,29.7,1.953258002957988,59.416773765317856,24.155454545454543,3.2300744012285336,0.07669459323987124
2019-12-24 01:00:00+00:00,2.3,0.0,0.17590245775729646,4808.0,4683.2,3767.1,-6.55,14.59,1.952790261116077,59.40512053684522,24.155170454545456,3.2295916428225317,0.07727143552892392
2019-12-24 02:00:00+00:00,1.09,0.0,0.14185867895545315,4462.0,4382.9,3644.1,-3.94,7.58,1.952322519274166,59.393467308372585,24.154886363636365,3.229108884416529,0.07902361680148798
2019-12-24 03:00:00+00:00,0.03,0.0,0.12196620583717359,4322.0,4214.2,3579.0,-0.22,0.3,1.951854777432255,59.38181407989995,24.154602272727274,3.228626126010528,0.07984045321471914
2019-12-24 04:00:00+00:00,2.9,0.0,0.1244431643625192,4213.0,4139.8,3491.7000000000003,2.31,3.47,1.951387035590344,59.37016085142731,24.154318181818184,3.2281433676045257,0.08141935050962634
2019-12-24 05:00:00+00:00,6.26,0.0,0.1380952380952381,4199.0,4095.9,3376.7,4.69,7.74,1.9509192937484328,59.35850762295467,24.15403409090909,3.227660609198524,0.08259333198426208
2019-12-24 06:00:00+00:00,15.13,0.0,0.1517089093701997,4325.0,4241.4,3451.3,2.7,25.78,1.9504515519065224,59.34685439448204,24.15375,3.227177850792522,0.08648519355879396
2019-12-24 07:00:00+00:00,26.51,0.0008042895442359249,0.16244239631336405,4468.0,4455.8,3609.2,1.66,39.95,1.9499838100646112,59.3352011660094,24.153465909090908,3.22669509238652,0.09180382188705312
2019-12-24 08:00:00+00:00,31.24,0.10991957104557641,0.17246543778801846,4880.0,4831.9,3851.7,1.79,58.03,1.9495160682227,59.32354793753676,24.153181818181817,3.226212333980518,0.09304558076670043
2019-12-24 09:00:00+00:00,30.72,0.35723860589812334,0.19364439324116745,5363.0,5310.5,4035.5,11.49,50.03,1.9490483263807887,59.31189470906412,24.152897727272727,3.2257295755745163,0.09038360173764448
2019-12-24 10:00:00+00:00,25.68,0.510053619302949,0.20662442396313363,5578.0,5479.3,4022.7,22.2,29.21,1.9485805845388784,59.30024148059148,24.15261363636364,3.2252468171685145,0.08635735076139597
2019-12-24 11:00:00+00:00,27.0,0.5821715817694371,0.22331029185867896,5678.0,5550.2,3952.9,19.79,33.94,1.9481128426969672,59.28858825211884,24.152329545454545,3.2247640587625126,0.08592926378247642
2019-12-24 12:00:00+00:00,27.55,0.6050938337801608,0.22705453149001537,5717.0,5594.1,3960.2000000000007,27.12,27.96,1.947645100855056,59.2769350236462,24.15204545454545,3.2242813003565107,0.08591486655873418
2019-12-24 13:00:00+00:00,27.0,0.5734584450402145,0.23863287250384024,5672.0,5417.7,3747.1,21.73,32.22,1.9471773590131447,59.26528179517357,24.151761363636364,3.223798541950509,0.08531975938057791
2019-12-24 14:00:00+00:00,26.97,0.5058981233243968,0.22590245775729648,5638.0,5321.3,3767.400000000001,25.62,28.34,1.946709617171234,59.25362856670093,24.151477272727277,3.223315783544507,0.08627871191620648
2019-12-24 15:00:00+00:00,27.72,0.3579088471849866,0.2427803379416283,5616.0,5248.2,3716.8,23.63,31.83,1.9462418753293231,59.24197533822829,24.151193181818183,3.222833025138505,0.0860953266179442
2019-12-24 16:00:00+00:00,33.41,0.11742627345844503,0.2639784946236559,5635.0,5245.8,3783.4,-0.61,67.57,1.945774133487412,59.23032210975565,24.15090909090909,3.2223502667325032,0.08841325383138672
2019-12-24 17:00:00+00:00,36.51,0.001474530831099196,0.31050307219662054,6041.0,5797.8,4179.6,14.5,58.78,1.945306391645501,59.218668881283016,24.150625,3.2218675083265014,0.08673910533700979
2019-12-24 18:00:00+00:00,35.72,0.0,0.36430491551459293,6294.0,6162.8,4265.5,17.88,53.8,1.94483864980359,59.20701565281038,24.150340909090907,3.221384749920499,0.0826694467075274
2019-12-24 19:00:00+00:00,34.11,0.0,0.4153417818740399,6057.0,6031.5,3868.4,6.23,62.21,1.944370907961679,59.19536242433774,24.150056818181817,3.220901991514497,0.07916536231931785
2019-12-24 20:00:00+00:00,28.93,0.0,0.4448540706605223,5496.0,5401.8,3085.0,1.81,55.93,1.943903166119768,59.18370919586511,24.14977272727273,3.220419233108495,0.07575719994430918
2019-12-24 21:00:00+00:00,23.61,0.0,0.48152841781874045,5108.0,4946.1,2438.3,1.17,45.97,1.943435424277857,59.17205596739247,24.149488636363635,3.219936474702493,0.07156863767145628
2019-12-24 22:00:00+00:00,20.99,0.0,0.5093125960061444,5014.0,4815.2,2162.7,0.93,40.97,1.942967682435946,59.16040273891983,24.149204545454545,3.219453716296492,0.06880080217370296
2019-12-24 23:00:00+00:00,12.28,0.0,0.529147465437788,5005.0,4684.3,1928.5,0.43,23.44,1.9424999405940355,59.14874951044719,24.14892045454545,3.21897095789049,0.06310848568833011
2019-12-25 00:00:00+00:00,9.99,0.0,0.5265168970814131,4777.0,4530.8,1788.7000000000005,-7.72,23.83,1.9420321987521243,59.13709628197455,24.148636363636363,3.218488199484488,0.06225700438033067
2019-12-25 01:00:00+00:00,9.32,0.0,0.5098118279569892,4579.0,4393.4,1738.2999999999995,4.43,13.31,1.9415644569102133,59.12544305350191,24.148352272727276,3.218005441078486,0.06305722932722548
2019-12-25 02:00:00+00:00,5.37,0.0,0.5282258064516129,4261.0,4146.1,1395.1000000000004,2.96,7.41,1.9410967150683025,59.11378982502927,24.148068181818186,3.217522682672484,0.06027937193969547
2019-12-25 03:00:00+00:00,4.24,0.0,0.5444508448540707,3979.0,3906.1,1070.6,1.8,6.23,1.9406289732263915,59.10213659655664,24.14778409090909,3.217039924266482,0.05916996584221115
2019-12-25 04:00:00+00:00,4.0,0.0,0.543337173579109,3846.0,3754.3,924.6000000000004,-1.83,8.42,1.9401612313844805,59.090483368084,24.1475,3.2165571658604803,0.059364512326762695
2019-12-25 05:00:00+00:00,5.41,0.0,0.5179339477726574,3805.0,3691.8,994.4,-0.81,10.35,1.9396934895425693,59.07883013961136,24.14721590909091,3.216074407454478,0.06166854664374055
2019-12-25 06:00:00+00:00,6.87,0.0,0.4975038402457757,3794.0,3687.8,1096.8000000000002,-1.5,14.19,1.9392257477006585,59.06717691113872,24.14693181818182,3.215591649048476,0.06362097107042174
2019-12-25 07:00:00+00:00,9.34,0.0010723860589812334,0.4791282642089094,3684.0,3627.6,1131.4999999999995,2.28,16.05,1.9387580058587472,59.055523682666085,24.14664772727273,3.2151088906424743,0.06611402756462287
2019-12-25 08:00:00+00:00,9.99,0.08150134048257372,0.4684907834101383,3722.0,3703.9,1203.1999999999998,-5.23,25.05,1.938290264016836,59.043870454193446,24.146363636363635,3.2146261322364724,0.06681618148527302
2019-12-25 09:00:00+00:00,12.03,0.29731903485254696,0.44262672811059905,4162.0,4123.6,1596.6000000000004,-2.76,26.65,1.9378225221749248,59.032217225720814,24.146079545454544,3.2141433738304706,0.06833901955004351
2019-12-25 10:00:00+00:00,11.78,0.44021447721179624,0.4024193548387097,4747.0,4635.9,2211.7,-2.51,25.91,1.9373547803330144,59.020563997248175,24.145795454545453,3.2136606154244687,0.06933861825403469
2019-12-25 11:00:00+00:00,15.01,0.4953083109919571,0.36276881720430104,5241.0,5067.2,2808.4,0.37,29.63,1.9368870384911032,59.008910768775536,24.145511363636363,3.213177857018467,0.0725001472021078
2019-12-25 12:00:00+00:00,12.03,0.47265415549597856,0.3317972350230415,5310.0,5176.7,3096.0999999999995,1.96,22.04,1.936419296649192,58.9972575403029,24.145227272727272,3.212695098612465,0.07241937027291004
2019-12-25 13:00:00+00:00,11.59,0.42319034852546916,0.3230030721966206,4884.0,4698.2,2700.3,1.98,21.23,1.9359515548072808,58.98560431183026,24.14494318181818,3.212212340206463,0.07357366694169071
2019-12-25 14:00:00+00:00,9.99,0.2801608579088472,0.3228494623655914,4562.0,4289.6,2399.2000000000003,-0.56,20.55,1.9354838129653704,58.97395108335762,24.14465909090909,3.211729581800461,0.07361867981775155
2019-12-25 15:00:00+00:00,12.53,0.1306970509383378,0.33287250384024575,4538.0,4244.4,2413.3,1.17,23.91,1.9350160711234592,58.96229785488498,24.144375,3.2112468233944598,0.07476031314344861
2019-12-25 16:00:00+00:00,14.99,0.03753351206434316,0.346562980030722,4609.0,4346.1,2513.2000000000003,-0.54,30.57,1.934548329281548,58.95064462641235,24.14409090909091,3.210764064988457,0.07531516078472972
